,id,address,coord,district
1473,26019,"город Москва, проспект Мира, дом 33, корпус 1",37.632098 55.780319,"Россия, Москва, Центральный административный округ, Мещанский район"
1474,105190,"город Москва, проспект Мира, дом 33, корпус 1",37.632098 55.780319,"Россия, Москва, Центральный административный округ, Мещанский район"
1476,67810,"город Москва, проспект Мира, дом 146",37.642734 55.820855,"Россия, Москва, Северо-Восточный административный округ, Алексеевский район"
1477,129980,"город Москва, проспект Мира, дом 146",37.642734 55.820855,"Россия, Москва, Северо-Восточный административный округ, Алексеевский район"
1552,19718,"город Москва, проспект Вернадского, дом 82, строение 2",37.475603 55.66734,"Россия, Москва, Западный административный округ, район Тропарёво-Никулино"
1562,157568,"город Москва, проспект Вернадского, дом 92",37.473168 55.655285,"Россия, Москва, Западный административный округ, район Тропарёво-Никулино"
1567,27640,"город Москва, Кутузовский проспект, дом 22",37.549264 55.745949,"Россия, Москва, Западный административный округ, район Дорогомилово"
1568,120295,"город Москва, Кутузовский проспект, дом 33",37.540784 55.741465,"Россия, Москва, Западный административный округ, район Дорогомилово"
1569,29632,"город Москва, Кутузовский проспект, дом 24",37.545267 55.744526,"Россия, Москва, Западный административный округ, район Дорогомилово"
1596,157309,"город Москва, Ленинградский проспект, дом 69, строение 1",37.517716 55.802811,"Россия, Москва, Северный административный округ, район Сокол"
1597,129609,"город Москва, Ленинградский проспект, дом 69, строение 1",37.517716 55.802811,"Россия, Москва, Северный административный округ, район Сокол"
1598,25838,"город Москва, Ленинградский проспект, дом 69, строение 1",37.517716 55.802811,"Россия, Москва, Северный административный округ, район Сокол"
1614,81199,"город Москва, Каширское шоссе, дом 122",37.71813 55.605902,"Россия, Москва, Южный административный округ, район Орехово-Борисово Южное"
1617,70502,"город Москва, Варшавское шоссе, дом 9",37.621669 55.700481,"Россия, Москва, Южный административный округ, Донской район"
1618,82401,"город Москва, Варшавское шоссе, дом 9",37.621669 55.700481,"Россия, Москва, Южный административный округ, Донской район"
1622,23815,"город Москва, Варшавское шоссе, дом 152, корпус 2",37.598339 55.591259,"Россия, Москва, Южный административный округ, район Чертаново Южное"
1693,129951,"город Москва, Профсоюзная улица, дом 58, корпус 4",37.550504 55.669407,"Россия, Москва, Юго-Западный административный округ, Обручевский район"
1696,24873,"город Москва, Профсоюзная улица, дом 96",37.527822 55.647468,"Россия, Москва, Юго-Западный административный округ, район Коньково, 44-47-й квартал района Коньково"
1698,128004,"город Москва, Профсоюзная улица, дом 104",37.523456 55.64192,"Россия, Москва, Юго-Западный административный округ, район Коньково, 48-50-й квартал"
1699,24587,"город Москва, Профсоюзная улица, дом 104",37.523456 55.64192,"Россия, Москва, Юго-Западный административный округ, район Коньково, 48-50-й квартал"
1700,25554,"город Москва, Профсоюзная улица, дом 104",37.523456 55.64192,"Россия, Москва, Юго-Западный административный округ, район Коньково, 48-50-й квартал"
1701,80904,"город Москва, Профсоюзная улица, дом 104",37.523456 55.64192,"Россия, Москва, Юго-Западный административный округ, район Коньково, 48-50-й квартал"
1702,80912,"город Москва, Профсоюзная улица, дом 104",37.523456 55.64192,"Россия, Москва, Юго-Западный административный округ, район Коньково, 48-50-й квартал"
1703,68432,"город Москва, Профсоюзная улица, дом 104",37.523456 55.64192,"Россия, Москва, Юго-Западный административный округ, район Коньково, 48-50-й квартал"
1708,69967,"город Москва, Ленинский проспект, дом 111, корпус 1",37.509343 55.661328,"Россия, Москва, Юго-Западный административный округ, Обручевский район, жилой комплекс Велл Хаус"
1709,154848,"город Москва, Профсоюзная улица, дом 25, корпус 1",37.562667 55.674006,"Россия, Москва, Юго-Западный административный округ, район Черёмушки, Новые Черёмушки квартал 22-23"
1731,20159,"город Москва, проспект Вернадского, дом 94, корпус 1",37.475513 55.652659,"Россия, Москва, Западный административный округ, район Тропарёво-Никулино, жилой комплекс Миракс Парк"
1906,22184,"город Москва, Ленинградский проспект, дом 80, корпус 19",37.5114 55.80737,"Россия, Москва, Северный административный округ, район Сокол"
1907,27699,"город Москва, Ленинградский проспект, дом 80, корпус 17",37.511508 55.807951,"Россия, Москва, Северный административный округ, район Сокол"
1908,153552,"город Москва, Ленинградский проспект, дом 80, корпус 17",37.511508 55.807951,"Россия, Москва, Северный административный округ, район Сокол"
1917,69323,"город Москва, Ленинский проспект, дом 4, строение 1А",37.608877 55.727491,"Россия, Москва, Центральный административный округ, район Якиманка"
1920,23056,"город Москва, проспект Мира, дом 95, строение 3",37.635045 55.807658,"Россия, Москва, Северо-Восточный административный округ, Останкинский район, жилой комплекс Хилл8"
