,id,address,coord,district
3338,29234,"город Москва, 14-я Парковая улица, дом 4Б",37.816612 55.789932,"Россия, Москва, Восточный административный округ, район Восточное Измайлово"
3345,21453,"город Москва, улица Благуша, дом 6",37.723663 55.780532,"Россия, Москва, Восточный административный округ, район Соколиная Гора, микрорайон Дружба"
3349,27399,"город Москва, Штурвальная улица, дом 7, корпус 2",37.444018 55.848316,"Россия, Москва, Северо-Западный административный округ, район Южное Тушино"
3350,20931,"город Москва, Минаевский переулок, дом 2",37.602813 55.789218,"Россия, Москва, Северо-Восточный административный округ, район Марьина Роща"
3359,146703,"город Москва, Щёлковский проезд, дом 13",37.777158 55.807122,"Россия, Москва, Восточный административный округ, район Северное Измайлово"
3360,22224,"город Москва, Мажоров переулок, дом 5",37.711518 55.78237,"Россия, Москва, Восточный административный округ, район Соколиная Гора"
3367,73308,"город Москва, Измайловская площадь, дом 1А",37.775981 55.79266,"Россия, Москва, Восточный административный округ, район Измайлово"
3371,27633,"город Москва, Елоховский проезд, дом 1, строение 5",37.672666 55.772998,"Россия, Москва, Центральный административный округ, Басманный район"
3375,21367,"город Москва, Рубцов переулок, дом 10/14",37.691638 55.772861,"Россия, Москва, Центральный административный округ, Басманный район"
3380,21369,"город Москва, Кондрашёвский тупик, дом 3А",37.687973 55.768851,"Россия, Москва, Центральный административный округ, Басманный район"
3381,27855,"город Москва, Плетешковский переулок, дом 2",37.674409 55.771408,"Россия, Москва, Центральный административный округ, Басманный район"
3388,29148,"город Москва, улица Николаева, дом 5",37.568138 55.756523,"Россия, Москва, Центральный административный округ, Пресненский район"
3391,21035,"город Москва, Триумфальная площадь, дом 2, строение 1",37.595402 55.768264,"Россия, Москва, Центральный административный округ, Тверской район"
3392,20642,"город Москва, 2-й Магистральный тупик, дом 5А",37.524228 55.767332,"Россия, Москва, Северный административный округ, Хорошёвский район"
3465,21280,"город Москва, 2-й Боткинский проезд, дом 5, корпус 28",37.548456 55.78074,"Россия, Москва, Северный административный округ, район Беговой"
3527,21030,"город Москва, Мамоновский переулок, дом 10, строение 1",37.599876 55.766228,"Россия, Москва, Центральный административный округ, Тверской район"
3529,22576,"город Москва, Дегтярный переулок, дом 6, строение 1",37.603684 55.768547,"Россия, Москва, Центральный административный округ, Тверской район"
3530,25096,"город Москва, Глинищевский переулок, дом 3",37.609775 55.763265,"Россия, Москва, Центральный административный округ, Тверской район"
3597,26857,"город Москва, 3-я Песчаная улица, дом 2",37.51785 55.792645,"Россия, Москва, Северный административный округ, Хорошёвский район"
3619,154224,"город Москва, 1-й Монетчиковский переулок, дом 5, строение 1",37.628316 55.732256,"Россия, Москва, Центральный административный округ, район Замоскворечье"
3621,142570,"город Москва, улица Малая Ордынка, дом 24",37.625208 55.735459,"Россия, Москва, Центральный административный округ, район Замоскворечье"
3624,29577,"город Москва, Хавская улица, дом 15",37.614276 55.713446,"Россия, Москва, Южный административный округ, Даниловский район"
3630,129451,"город Москва, Жуков проезд, дом 8, строение 3",37.646229 55.721975,"Россия, Москва, Южный административный округ, Даниловский район"
3633,141361,"город Москва, Средний Овчинниковский переулок, дом 1, строение 13",37.630652 55.745134,"Россия, Москва, Центральный административный округ, район Замоскворечье"
3639,21582,"город Москва, 5-й Рощинский проезд, дом 4",37.612173 55.710626,"Россия, Москва, Южный административный округ, Даниловский район"
3642,19883,"город Москва, улица Богданова, дом 56Б",37.392661 55.647686,"Россия, Москва, Западный административный округ, район Солнцево, 6-й микрорайон"
3652,23673,"город Москва, Наро-Фоминская улица, дом 1",37.390604 55.657733,"Россия, Москва, Западный административный округ, район Солнцево, 3-й микрорайон"
3653,23662,"город Москва, улица Щорса, дом 5",37.407681 55.646492,"Россия, Москва, Западный административный округ, район Солнцево, 5-й микрорайон"
3670,69444,"город Москва, Сверчков переулок, дом 8, строение 1",37.639878 55.760226,"Россия, Москва, Центральный административный округ, Басманный район"
3701,156723,"город Москва, Малый Каретный переулок, дом 11, строение 2",37.614806 55.771327,"Россия, Москва, Центральный административный округ, Тверской район"
3713,23514,"город Москва, проектируемый проезд № 1980, дом 4",37.43728 55.67225,"Россия, Москва, Западный административный округ, район Очаково-Матвеевское"
3754,29173,"город Москва, Костомаровская набережная, дом 29, строение 1",37.668695 55.750428,"Россия, Москва, Центральный административный округ, Таганский район"
3755,27019,"город Москва, 1-й Краснокурсантский проезд, дом 1/4",37.689761 55.758149,"Россия, Москва, Юго-Восточный административный округ, район Лефортово"
3756,27859,"город Москва, Мрузовский переулок, дом 11, строение 1",37.66742 55.757445,"Россия, Москва, Центральный административный округ, Басманный район"
3760,152836,"город Москва, Петроверигский переулок, дом 4, строение 1",37.636608 55.756791,"Россия, Москва, Центральный административный округ, Басманный район"
3763,21365,"город Москва, Большой Трёхсвятительский переулок, дом 4",37.646049 55.754978,"Россия, Москва, Центральный административный округ, Басманный район"
3765,21373,"город Москва, Большой Казённый переулок, дом 9",37.655634 55.760373,"Россия, Москва, Центральный административный округ, Басманный район"
3766,28859,"город Москва, Таможенный проезд, дом 4",37.67917 55.751852,"Россия, Москва, Юго-Восточный административный округ, район Лефортово"
3768,28861,"город Москва, Верхний Золоторожский переулок, дом 2",37.679287 55.750388,"Россия, Москва, Юго-Восточный административный округ, район Лефортово"
3775,28863,"город Москва, Шепелюгинская улица, дом 21/13, строение 1",37.703631 55.745144,"Россия, Москва, Юго-Восточный административный округ, район Лефортово, 8-й микрорайон"
3776,28860,"город Москва, Лонгиновская улица, дом 6",37.711455 55.767372,"Россия, Москва, Юго-Восточный административный округ, район Лефортово, 2-й микрорайон"
3784,153726,"город Москва, Несвижский переулок, дом 3",37.588081 55.731764,"Россия, Москва, Центральный административный округ, район Хамовники, 454-й квартал"
3841,153404,"город Москва, Хилков переулок, дом 3А",37.598079 55.737193,"Россия, Москва, Центральный административный округ, район Хамовники, 133-й квартал"
3844,152202,"город Москва, Малый Саввинский переулок, дом 8",37.562137 55.731054,"Россия, Москва, Центральный административный округ, район Хамовники"
3852,153436,"город Москва, улица Савельева, дом 5",37.562892 55.722482,"Россия, Москва, Центральный административный округ, район Хамовники, 480-й квартал"
3853,153380,"город Москва, переулок Хользунова, дом 8",37.580499 55.730096,"Россия, Москва, Центральный административный округ, район Хамовники, 461-й квартал"
3872,153406,"город Москва, 2-й Обыденский переулок, дом 9",37.603505 55.741333,"Россия, Москва, Центральный административный округ, район Хамовники, 141-й квартал"
3875,150573,"город Москва, Хитровский переулок, дом 3/1, строение 4",37.643363 55.753402,"Россия, Москва, Центральный административный округ, Басманный район"
3891,28416,"город Москва, Андроньевская площадь, дом 5/9",37.669477 55.747211,"Россия, Москва, Центральный административный округ, Таганский район"
